Authors,Title,year,Abstract,Keywords
"Nagoor OH,Whittle J,Deng J,Mora B,Jones MW",Sampling strategies for learning-based 3D medical image compression,2022,"Recent achievements of sequence prediction models in numerous domains, including compression, provide great potential for novel learning-based codecs. In such models, the input sequence’s shape and size play a crucial role in learning the mapping function of the data distribution to the target output. This work examines numerous input configurations and sampling schemes for a many-to-one sequence prediction model, specifically for compressing 3D medical images (16-bit depth) losslessly. The main objective is to determine the optimal practice for enabling the proposed Long Short-Term Memory (LSTM) model to achieve high compression ratio and fast encoding–decoding performance. Our LSTM models are trained with 4-fold cross-validation on 12 high-resolution CT dataset while measuring model’s compression ratios and execution time. Several configurations of sequences have been evaluated, and our results demonstrate that pyramid-shaped sampling represents the best trade-off between performance and compression ratio (up to 3×). We solve a problem of non-deterministic environments that allow our models to run in parallel without much compression performance drop. Experimental evaluation was carried out on datasets acquired by different hospitals, representing different body segments, and distinct scanning modalities (CT and MRI). Our new methodology allows straightforward parallelisation that speeds-up the decoder by up to 37× compared to previous methods. Overall, the trained models demonstrate efficiency and generalisability for compressing 3D medical images losslessly while still outperforming well-known lossless methods by approximately 17% and 12%. To the best of our knowledge, this is the first study that focuses on voxel-wise predictions of volumetric medical imaging for lossless compression.","3D predictors, Deep learning, Lossless compression, Medical image compression, Sequence prediction model, LSTM"
"Davis SR,Worsnop CJ,Hand EM",Gender bias recognition in political news articles,2022,"Gender bias exists not only in the stereotypes used to portray male and female figures, but more importantly, in the word choice media outlets use to describe political figures. Research in computational linguistics has not yet focused on the problem of identifying gender bias in political news from a variety of leanings, despite decades of research from the political science perspective. In this work, we introduce a new dataset – News-Bias – and demonstrate through extensive experimentation that there exists significant gender bias in political news, even with all gendered terms, and personally identifiable information removed. We show that bias persists through the document embeddings, sentiment and word choice across news outlets and political leanings.","Machine learning, Bias, Natural language processing, Gender recognition, Political news"
"Antweiler D,Harmening M,Marheineke N,Schmeißer A,Wegener R,Welke P",Graph-based tensile strength approximation of random nonwoven materials by interpretable regression,2022,"Nonwoven materials consist of random fiber structures. They are essential to diverse application areas such as clothing, insulation and filtering. A long term goal in industry is the simulation-based optimization of material properties in dependence of the manufacturing parameters. Recent works developed a framework to predict tensile strength properties representing the fiber structure as a stochastic graph. In this paper we present an efficient machine learning approach using a regression model trained on features extracted from the graph, for which we develop a novel graph stretching algorithm. We demonstrate that applying our method to a practically relevant dataset yields similar prediction results as the original ODE approach (R2=0.98), while achieving a significant speedup by up to three orders of magnitude. This opens the field to optimization, as Monte Carlo simulations accounting for the stochastic nature of nonwovens become easily accessible. Our model generalizes well to unseen parameter combinations. Additionally, our approach produces interpretable results by using a simple linear model for the regression task.","Nonwoven fiber material, Manufacturing, Textile fabrics, Material property prediction, Graph representation, Interpretable machine learning"
"Stephan M,Servadei L,Arjona-Medina J,Santra A,Wille R,Fischer G",Scene-adaptive radar tracking with deep reinforcement learning,2022,"Multi-target tracking with radars is a highly challenging problem due to detection artifacts, sensor noise, and interference sources. The traditional signal processing chain is, therefore, a complex combination of various algorithms with several tunable tracking-parameters. Usually, these are initially set by engineers and are independent of the scene tracked. For this reason, they are often non-optimal and generate poorly performing tracking. In this context, scene-adaptive radar processing refers to algorithms that can sense, understand and learn information related to detected targets as well as the environment and adapt its tracking-parameters to optimize the desired goal. In this paper, we propose a Deep Reinforcement Learning framework that guides the scene-adaptive choice of radar tracking-parameters towards an improved performance on multi-target tracking.","Reinforcement learning, Radar tracking, Scene adaptation"
"Lokanan ME,Sharma K",Fraud prediction using machine learning: The case of investment advisors in Canada,2022,"The paper contributes to a growing body of empirical work on regulatory technology by proposing machine learning models to detect fraud in financial markets. The recent spate of investment fraud in Canada has exposed regulators’ inability to protect vulnerable investors and the financial markets from financial abuse. As evident by the numerous regulatory task force commissioned in the past two years, Canadian regulators have been looking for ways to detect and prevent fraudulent activities before they occur and support enhanced enforcement powers. The purpose of this study is to use data collected from the Investment Industry Regulatory Organization of Canada (IIROC) to build a machine-learning algorithm to predict fraud in the Canadian securities industry. Data for this project were collected from IIROC’s tribunal cases covering June 2008 to December 2019. In total, 406 cases were retrieved from the IIROC’s website. The results from four machine learning models reveal that across all the features, the amount of money invested and whether the offender was from a bank-owned investment firm were the high predictors of fraud in terms of the standardized coefficient. Branch managers and regulators should pay careful attention to portfolios that continuously incur losses as a sign of potential fraud. The findings are particularly relevant to regulators seeking new and effective fraud detection techniques while providing enhanced clarity to Canada’s financial markets’ self-regulation.","Fraud, Machine learning, Financial markets, Regulation"
"Shahi S,Fenton FH,Cherry EM",Prediction of chaotic time series using recurrent neural networks and reservoir computing techniques: A comparative study,2022,"In recent years, machine-learning techniques, particularly deep learning, have outperformed traditional time-series forecasting approaches in many contexts, including univariate and multivariate predictions. This study aims to investigate the capability of (i) gated recurrent neural networks, including long short-term memory (LSTM) and gated recurrent unit (GRU) networks, (ii) reservoir computing (RC) techniques, such as echo state networks (ESNs) and hybrid physics-informed ESNs, and (iii) the nonlinear vector autoregression (NVAR) approach, which has recently been introduced as the next generation RC, for the prediction of chaotic time series and to compare their performance in terms of accuracy, efficiency, and robustness. We apply the methods to predict time series obtained from two widely used chaotic benchmarks, the Mackey–Glass and Lorenz-63 models, as well as two other chaotic datasets representing a bursting neuron and the dynamics of the El Niño Southern Oscillation, and to one experimental dataset representing a time series of cardiac voltage with complex dynamics. We find that even though gated RNN techniques have been successful in forecasting time series generally, they can fall short in predicting chaotic time series for the methods, datasets, and ranges of hyperparameter values considered here. In contrast, for the chaotic datasets studied, we found that reservoir computing and NVAR techniques are more computationally efficient and offer more promise in long-term prediction of chaotic time series.","Recurrent neural networks, Reservoir computing, Echo state networks, Deep learning, Chaotic time series, Nonlinear vector autoregression"
"Vidal A,Jha S,Hassler S,Price T,Busso C",Face detection and grimace scale prediction of white furred mice,2022,"Studying the facial expressions of humans has been one of the major applications of computer vision. An open question is whether common machine learning techniques can also be used to track behaviors of animals, which is a less explored research problem. Since animals are not capable of verbal communication, computer vision solutions can provide valuable information to track the animal’s state. We are particularly interested in pain neurobiology research, where rodent models are extensively used to investigate pain interventions. A grimace scale is used to understand the suffering of a mouse in the presence of interventions, which is inferred from various facial features such as the shape of the eyes and ears. In this work, we automate the prediction of the grimace scale on white furred mice using a machine learning approach, following the same principles used for human facial expression recognition: face detection, landmark region extraction, and expression recognition. We demonstrate the use of the you only look once (YOLO) framework for face detection of the mice with outstanding results. For eye region extraction and grimace pain prediction, we propose a novel structure based on a dilated convolutional network. The experimental results are promising, showing that it is possible to differentiate among the pain scale of the mice.","Mice pain detection, Deep learning, Convolutional neural networks"
"Packwood D,Nguyen LT,Cesana P,Zhang G,Staykov A,Fukumoto Y,Nguyen DH",Machine Learning in Materials Chemistry: An Invitation,2022,"Materials chemistry is being profoundly influenced by the uptake of machine learning methodologies. Machine learning techniques, in combination with established techniques from computational physics, promise to accelerate the discovery of new materials by elucidating complex structure–property relationships from massive material databases. Despite exciting possibilities, further methodological developments call for a greater synergism between materials chemists, physicists, and engineers on one side, with computer science and math majors on the other. In this review, we provide a non-exhaustive account of machine learning in materials chemistry for computer scientists and applied mathematicians, with an emphasis on molecule datasets and materials chemistry problems. The first part of this review provides a tutorial on how to prepare such datasets for subsequent model building, with an emphasis on the construction of feature vectors. We also provide a self-contained introduction to density functional theory, a method from computational physics which is widely used to generate datasets and compute response variables. The second part reviews two machine learning methodologies which represent the status quo in materials chemistry at present – kernelized machine learning and Bayesian machine learning – and discusses their application to real datasets. In the third part of the review, we introduce some emerging machine learning techniques which have not been widely adopted by materials scientists and therefore present potential avenues for computer science and applied math majors. In the final concluding section, we discuss some recent machine learning-based approaches to real materials discovery problems and speculate on some promising future directions.","Materials chemistry, Kernelized machine learning, Density functional theory, Bayesian optimization, Ensemble methods, Reinforcement learning, Federated learning"
"Mark M,Chehrazi N,Liu H,Weber TA",Optimal recovery of unsecured debt via interpretable reinforcement learning,2022,"This paper addresses the issue of interpretability and auditability of reinforcement-learning agents employed in the recovery of unsecured consumer debt. To this end, we develop a deterministic policy-gradient method that allows for a natural integration of domain expertise into the learning procedure so as to encourage learning of consistent, and thus interpretable, policies. Domain knowledge can often be expressed in terms of policy monotonicity and/or convexity with respect to relevant state inputs. We augment the standard actor–critic policy approximator using a monotonically regularized loss function which integrates domain expertise into the learning. Our formulation overcomes the challenge of learning interpretable policies by constraining the search to policies satisfying structural-consistency properties. The resulting state-feedback control laws can be readily understood and implemented by human decision makers. This new domain-knowledge enhanced learning approach is applied to the problem of optimal debt recovery which features a controlled Hawkes process and an asynchronous action–feedback relationship.","Reinforcement learning, Interpretable machine learning, Deterministic policy gradient, Monotonicity constrained learning, Debt recovery, Control of Hawkes processes"
"Ameyaw DA,Deng Q,Söffker D",How to evaluate classifier performance in the presence of additional effects: A new POD-based approach allowing certification of machine learning approaches,2022,"Classifiers are useful and well-known machine learning algorithms allowing classifications. A classifier may be suited for a specific task depending on the application and datasets. To select an approach for a task, performance evaluation may be imperative. Existing approaches like the receiver operating characteristic and precision–recall curves are popular in evaluating classifier performance, however both measures do not directly address the influence of additional and possibly unknown (process) parameters on the classification results. In this contribution, this limitation is discussed and addressed by adapting the Probability of Detection (POD) measure. The POD is a probabilistic method to quantify the reliability of a diagnostic procedure taking into account statistical variability of sensor and measurements properties. In this contribution the POD approach is adapted and extended. The introduced approach is implemented on driving behavior prediction data serving as illustrative example. Based on the introduced POD-related evaluation, different classifiers can be clearly distinguished with respect to their ability to predict the correct intended driver behavior as a function of remaining time (here assumed as process parameter) before the event itself. The introduced approach provides a new diagnostic and comprehensive interpretation of the quality of a classification model.","Performance evaluation, Classifier, Probability of Detection, Human behavior prediction"
"Islam MD,Li B,Islam KS,Ahasan R,Mia MR,Haque ME",Airbnb rental price modeling based on Latent Dirichlet Allocation and MESF-XGBoost composite model,2022,"Airbnb price modeling is an important decision-making tool that determines the acceptability and profitability of the service. In this study, we demonstrated how proper descriptions of an Airbnb listing and location could influence determining the prices. We assumed the proper description of a listing property positively influences the renter’s decision making; therefore, we applied a Latent Dirichlet Allocation (LDA) based topic model for generating synthetic variables from the textual description of property aiming to improve price prediction accuracy. Additionally, we applied a Moran Eigenvector Spatial Filtering based XGBoost (MESF-XGBoost) model to address the spatial dependence of location data and improve prediction accuracy. Our study at the San Jose County Airbnb dataset found that the number of bedrooms, accommodations, property types, and the total number of reviews positively influence the listing price, whereas the absence of a super host badge and cancellation policy negatively influence the price. The experiment demonstrates that incorporating synthetic variables from both LDA and MESF into the model specification improves the prediction accuracy. The experiment reveals that the XGBoost model with only non-spatial features is not strong enough to address spatial dependence; therefore, it cannot minimize spatial autocorrelation issues.","Machine Learning, Latent Dirichlet Allocation, Eigenvector Spatial Filtering, XGBoost, Spatial Data Modeling"
"Partovi Nia V,Li X,Asgharian M,Hu S,Geng Y,Chen Z",A causal direction test for heterogeneous populations,2022,"A probabilistic expert system emulates the decision-making ability of a human expert through a directional graphical model. The first step in building such systems is to understand data generation mechanism. To this end, one may try to decompose a multivariate distribution into product of several conditionals, and evolving a blackbox machine learning predictive models towards transparent cause-and-effect discovery. Most causal models assume a single homogeneous population, an assumption that may fail to hold in many applications. We show that when the homogeneity assumption is violated, causal models developed based on such assumption can fail to identify the correct causal direction. We propose an adjustment to a commonly used causal direction test statistic by using a k-means type clustering algorithm where both the labels and the number of components are estimated from the collected data to adjust the test statistic. Our simulation result show that the proposed adjustment significantly improves the performance of the causal direction test statistic for heterogeneous data. We study large sample behaviour of our proposed test statistic and demonstrate the application of the proposed method using real data.","Bayesian hierarchical model, Causal inference, Clustering, Graphical models, Belief network, Probabilistic expert systems, Testing statistical hypotheses"
"Shahhosseini M,Hu G,Pham H",Optimizing ensemble weights and hyperparameters of machine learning models for regression problems,2022,"Aggregating multiple learners through an ensemble of models aim to make better predictions by capturing the underlying distribution of the data more accurately. Different ensembling methods, such as bagging, boosting, and stacking/blending, have been studied and adopted extensively in research and practice. While bagging and boosting focus more on reducing variance and bias, respectively, stacking approaches target both by finding the optimal way to combine base learners. In stacking with the weighted average, ensembles are created from weighted averages of multiple base learners. It is known that tuning hyperparameters of each base learner inside the ensemble weight optimization process can produce better performing ensembles. To this end, an optimization-based nested algorithm that considers tuning hyperparameters as well as finding the optimal weights to combine ensembles (Generalized Weighted Ensemble with Internally Tuned Hyperparameters (GEM-ITH)) is designed. Besides, Bayesian search was used to speed-up the optimizing process and a heuristic was implemented to generate diverse and well-performing base learners. The algorithm is shown to be generalizable to real data sets through analyses with ten publicly available data sets.","Ensemble, Stacking, Optimization, Bias–variance tradeoff, Hyperparameters"
"Mahajan H,Banerjee S",A machine learning framework for guided wave-based damage detection of rail head using surface-bonded piezo-electric wafer transducers,2022,"Due to repeated heavy loads, environmental conditions and non-frequent monitoring, the rail is subjected to heavy damage resulting in sudden failure. Hence, a frequent, faster, and efficient monitoring strategy is required. This paper attempts to investigate the application of guided wave (GW) generated through surface-bonded piezo-electric wafer transducer (PWT) to detect damages in rail at high frequencies. Firstly, a combined experimental and simulation study is presented in an effort to understand the dispersion characteristics of guided wave and its interaction with head damages in a relatively small rail specimen. The numerical simulation results are validated with those obtained from the experiments showing a good agreement between them. Secondly, a framework based on the machine learning algorithm is proposed to efficiently detect damage in rail head. Numerous inseparable guided wave modes are observed at higher frequencies implying the inability to detect damage through specific mode. Therefore, a machine learning framework is trained using time, frequency, and time–frequency domain features of the signal. Total 672 numerical simulations of different types of damage with different severity and location in the rail head are carried out to train and validate the model. It is found that GW generated through surface bonded PWTs is able to detect minimum defect size of 5% of head area with 1 mm thickness. Finally, the proposed framework is tested using simulation and experiment results of arbitrary damage in the rail head. The error in estimating severity was found to be in the range from 2.00% to 16.67%.","Rail inspection, Guided wave, Surface bonded sensors, Rail head damage detection, Machine learning application"
"Soleymani F,Paquet E","Long-term financial predictions based on Feynman–Dirac path integrals, deep Bayesian networks and temporal generative adversarial networks",2022,"This paper presents a new deep learning framework, QuantumPath, for long-term stock price prediction, which is of great significance in portfolio management and risk mitigation, especially when the market becomes volatile due to unpredictable circumstances such as a pandemic. Our approach is based on stochastic equations, the Feynman–Dirac path integral, deep Bayesian networks, and temporal generative adversarial neural networks (t-GAN). The expected financial trajectory is evaluated with a Feynman–Dirac path integral. The latter involves summing all possible financial trajectories that could have been taken by the financial instrument. These trajectories are generated with a t-GAN. A probability is attributed to each point of each path. The probability is a function of the Lagrangian, which is derived from a stochastic equation describing the temporal evolution of the stock. The drift and the volatility at each point, which are required in order to evaluate the Lagrangian, are predicted with a deep Bayesian neural network. Given that the evolution of a stock’s price is isomorphic to a time series, our temporal GAN consists of long short-term memory (LSTM) neural networks, which introduce a memory mechanism, and temporal convolutional neural networks (TCN), which ensure causality. Stock prices are predicted over periods of twenty and thirty days for nine stocks, eight of which are included in the S&P 500 index. Our experimental results clearly demonstrate the efficiency of our approach.","Temporal generative adversarial network, Time series, Financial predictions, Long short-term memory, Temporal convolutional network"
"Dharmadhikari S,Basak A",Fatigue damage detection of aerospace-grade aluminum alloys using feature-based and feature-less deep neural networks,2022,"Fatigue damage is one of the most common causes of failure in aerospace structural components. While numerical modeling and laboratory-scale experimentation provide much insight to the physics of failure evolution, it is extremely challenging to account for all variabilies that a component may be subjected to during on-field operation. Human-supervised continuous monitoring of such components using sensors, therefore, provides a much-needed alternative for reliable operation of these components. By leveraging the concepts in deep learning, such human supervision can be assisted with an automated pre-trained deep network for damage detection. To that end, this article studies two distinct deep neural network (DNN) architectures for fatigue damage detection in aluminum using ultrasonic time-series data obtained from a novel customized fatigue testing apparatus. The first DNN, called as a feature-based network, is built by using two predefined features viz. frequency domain amplitude and autocorrelation from the ultrasonic data as the inputs. The second DNN, called as a feature-less network, uses the ultrasonic data as-is without any pre-processing and relies on the black-box features generated during training. The capability of fatigue crack detection for both DNN architectures is evaluated at two distinct stages of fatigue failure. The feature-less network is observed to outperform the feature-based network with an accuracy of 94.26% and 98.94% for the two stages. The result indicates that feature-less DNNs, owing to their construction, can formulate better, albeit black-box features, and simplify the process of choosing customized signal processing methods for similar problems.","Fatigue crack detection, Deep learning, Ultrasonics, Structural health monitoring, Neural networks, Autoencoders"
"Harrou F,Dairi A,Kadri F,Sun Y",Effective forecasting of key features in hospital emergency department: Hybrid deep learning-driven methods,2022,"Forecasting the different types of emergency department (ED) demands (patient flows) in hospital systems much aids ED managers in looking into various options to appropriately allocating the restricted resources available per patient attendance. Deep learning networks have recently gained great success in modeling time-dependent in time series data. Thus, this work advocates the use of deep learning-driven models for patient flows forecasting. Notably, we examine and compare seven deep learning models, Deep Belief Network (DBN), Restricted Boltzmann machines (RBM), Long Short Term Memory (LSTM), Gated recurrent unit (GRU), combined GRU and convolutional neural networks (CNN-GRU), LSTM-CNN, and Generative Adversarial Network based on Recurrent Neural Networks (GAN-RNN), to forecast patient flow in a hospital emergency department. We introduce a forecaster layer as output for each model to enable traffic flow forecasting. Patient flow data from different ED services, including biology, radiology, scanner, and echography, in Lille regional hospital in France, is used as a case study in assessing the considered forecasting models. Four metrics of effectiveness are adopted for evaluating and comparing the forecasting methods. The results show the promising performance of deep learning models for ED patient flow forecasting compared to shallow methods (i.e., ridge regression and support vector regression). In addition, the results highlighted the superior performance of the DBN compared to the other models by achieving an averaged mean absolute percentage error of around 4.097% and R2 of 0.973.","Hospital systems, Patient flows, ED visits, Forecasting, Hybrid deep learning methods"
"Sipper M,Moore JH",AddGBoost: A gradient boosting-style algorithm based on strong learners,2022,"We present AddGBoost, a gradient boosting-style algorithm, wherein the decision tree is replaced by a succession of (possibly) stronger learners, which are optimized via a state-of-the-art hyperparameter optimizer. Through experiments over 90 regression datasets we show that AddGBoost emerges as the top performer for 33% (with 2 stages) up to 42% (with 5 stages) of the datasets, when compared with seven well-known machine-learning algorithms: KernelRidge, LassoLars, SGDRegressor, LinearSVR, DecisionTreeRegressor, HistGradientBoostingRegressor, and LGBMRegressor.","Gradient boosting, Regression"
"Ciga O,Xu T,Martel AL",Self supervised contrastive learning for digital histopathology,2022,"Unsupervised learning has been a long-standing goal of machine learning and is especially important for medical image analysis, where the learning can compensate for the scarcity of labeled datasets. A promising subclass of unsupervised learning is self-supervised learning, which aims to learn salient features using the raw input as the learning signal. In this work, we tackle the issue of learning domain-specific features without any supervision to improve multiple task performances that are of interest to the digital histopathology community. We apply a contrastive self-supervised learning method to digital histopathology by collecting and pretraining on 57 histopathology datasets without any labels. We find that combining multiple multi-organ datasets with different types of staining and resolution properties improves the quality of the learned features. Furthermore, we find using more images for pretraining leads to a better performance in multiple downstream tasks, albeit there are diminishing returns as more unlabeled images are incorporated into the pretraining. Linear classifiers trained on top of the learned features show that networks pretrained on digital histopathology datasets perform better than ImageNet pretrained networks, boosting task performances by more than 28% in F1 scores on average. Interestingly, we did not observe a consistent correlation between the pretraining dataset site or the organ versus the downstream task (e.g., pretraining with only breast images does not necessarily lead to a superior downstream task performance for breast-related tasks). These findings may also be useful when applying newer contrastive techniques to histopathology data. Pretrained PyTorch models are made publicly available at https://github.com/ozanciga/self-supervised-histopathology.","Self supervised learning, Digital histopathology, Whole slide images, Unsupervised learning"
"Schmidt A,Ellsworth LM,Tilt JH,Gough M",Predicting conditional maximum contaminant level exceedance probabilities for drinking water after wildfires with Bayesian regularized network ensembles,2022,"The severity and frequency of wildfires have increased throughout the Pacific Northwest in recent decades, costing lives and destroying large amounts of valuable resources and assets. This trend is predicted to persist because of climate change and the associated increased fire risk caused by prolonged droughts in combination with changes in land cover and land use, including rapid increases in wildland urban interface areas. The threat of benzene and other contaminants in drinking water from water distribution systems after wildfires is a relatively recently discovered problem that gained attention because of the significant health hazards that high levels of benzene in drinking water pose for humans. Driving processes leading to post-fire benzene contamination in water distribution systems are largely unknown. Currently, no deterministic process models exist to predict the risk of exceeded benzene levels in water distribution systems after wildfires. To address the lack of predictive models, we developed and tested an approach based on neural network models to spatially predict the conditional probabilities of exceeding maximum contaminant levels for benzene after wildfires. The Bayesian regularized neural networks were trained using high-resolution data layers comprising topography, soil properties, landcover, vegetation, meteorological parameters, fuel load, and infrastructure data for two wildland urban interface areas in northern California. The generalized model ensemble encompassing data from both communities exhibits an accuracy of 83% to 88% in spatially predicting the post-fire exceedance of benzene levels, offering a planning tool for emergency response and future risk mitigation efforts.","Bayesian-regularized network ensembles, Conditional probabilities of drinking water contamination, Post-wildfire risk to water distribution systems (WDS) in the wildland urban interface (WUI), Maximum contaminant level (MCL) exceedance probabilities"
"Haselbeck F,Killinger J,Menrad K,Hannus T,Grimm DG",Machine Learning Outperforms Classical Forecasting on Horticultural Sales Predictions,2022,"Forecasting future demand is of high importance for many companies as it affects operational decisions. This is especially relevant for products with a short shelf life due to the potential disposal of unsold items. Horticultural products are highly influenced by this, however with limited attention in forecasting research so far. Beyond that, many forecasting competitions show a competitive performance of classical forecasting methods. For the first time, we empirically compared the performance of nine state-of-the-art machine learning and three classical forecasting algorithms for horticultural sales predictions. We show that machine learning methods were superior in all our experiments, with the gradient boosted ensemble learner XGBoost being the top performer in 14 out of 15 comparisons. This advantage over classical forecasting approaches increased for datasets with multiple seasons. Further, we show that including additional external factors, such as weather and holiday information, as well as meta-features led to a boost in predictive performance. In addition, we investigated whether the algorithms can capture the sudden increase in demand of horticultural products during the SARS-CoV-2 pandemic in 2020. For this special case, XGBoost was also superior. All code and data is publicly available on GitHub: https://github.com/grimmlab/HorticulturalSalesPredictions.","Sales Forecasting, Time Series Forecasting, Comparative study, Horticulture, Machine Learning"
"Ahuja S,Panigrahi BK,Gandhi TK",Enhanced performance of Dark-Nets for brain tumor classification and segmentation using colormap-based superpixel techniques,2022,"The brain tumor is the deadliest disease in adults as it arises due to an abnormal mass of cells that grows rapidly and it alters the proper functioning of the organs. In clinical practice, radiographic images of different modalities are used to diagnose types of brain tumors, their size, and location. The proposed work aims to automatically classify, localize, and segment brain tumors from T1W-CE Magnetic Resonance Image (MRI) datasets. The T1W-CE MRI dataset is divided into 8:1:1, i.e., 80% training set, 10% of each validation, and testing set. To address the overfitting issues, the training data set is augmented using 2-levels wavelet decomposition and geometrical operations (scaling, rotation, translation). Performance of pre-trained DarkNet model (DarkNet-19 and DarkNet-53) is evaluated for the multi-class classification and localization of brain tumors. The best performing pre-trained DarkNet model achieved 99.60% of training accuracy and 98.81% of validation accuracy. The performance evaluation parameters confirm the superiority of the proposed methodology in comparison to the state-of-the-art on the T1W-CE MRI dataset. On 1070 T1W-CE testing images, the best-performing pre-trained DarkNet-53 model obtained a testing accuracy of 98.54% and Area Under Curve (AUC) of 0.99. The tumor is segmented using a 2-D superpixel segmentation technique with an average dice index of 0.94 ± 2.6% on the 793 brain tumor testing data. To prove the superiority of the proposed technique, it is implemented on MRI images from the BraTS2018 dataset. The comparative analysis of performance evaluation parameters of the proposed methodology with the state-of-the-art technique proves its robustness and clinical significance.","Brain tumor, MRI, Deep learning, Superpixel segmentation"
Saracoglu BO,Initialization of profile and social network analyses robot and platform with a concise systematic review,2022,"This paper presents profile and social network analyses on concise systematic review corpora. It suggests two new robots and platforms for profile and social network analyses, that will serve previously proposed data, expert, and event-driven robots and platforms for energy and power industry. The literature is collected and stored in three topic clusters “location”, “investment”, and “DEMATEL” to prepare corpora. Twenty-five publications are selected in each sample corpus. A sample dataset of each corpus is prepared for thirty-one features such as “author’s full name and surname”, “applied methods”, and “publisher”. Afterward, “authors network matrices” are prepared in spreadsheet software. Data input files (*.csv) are prepared for each dataset. Gephi 0.9.2 201709241107 (free open-source software) is used for social network analyses with built-in layout and statistics algorithms on a desktop Windows 10 Pro, Intel(R) Core(TM) i5 CPU 650 @ 3.20 GHz, 6,00 GB RAM personal computer in an offline and active cybersecurity software environment. Force Atlas, Force Atlas 2, Fruchterman–Reingold, OpenOrd, Yifan Hu, and Yifan Hu Proportional layout algorithms with Noverlap layout algorithm are run one by one. Runtimes range 2–120 s. All default statistic algorithms are run for several metrics like average degree, average weighted degree, betweenness centrality, closeness centrality, harmonic closeness centrality, eccentricity, and density. Authors in “location” cluster have a centralized network, but authors in “investment” and “DEMATEL” clusters have distributed networks. General profile analyses are conducted based on authors’ publications in the literature without any data and information on social media sites and platforms. Two new profile analysis metrics are proposed as “researcher’s past research focus index”, and “researcher’s future research focus prediction index”. Detailed profile analysis is performed for only Burak Omer Saracoglu. All analyses and findings are compared and summarized in the end.","Decision Making Trial and Evaluation Laboratory, DEMATEL, Investment, Location, Profile analysis, Social network analysis"
"Zeinali Y,Niaki ST",Heart sound classification using signal processing and machine learning algorithms,2022,"According to global statistics and the world health organization (WHO), about 17.5 million people die each year from cardiovascular disease. In this paper, the heart sounds gathered by a stethoscope are analyzed to diagnose several diseases caused by heart failure. This research’s primary process is to identify and classify the data related to the heart sounds categorized in four general groups of S1 to S4. The sounds S1 and S2 are considered as the heart’s normal sounds, and the sounds S3 and S4 are the abnormal sounds of the heart (heart murmurs), each expressing a specific type of heart disease. In this regard, the desired features are first extracted after retrieving the data by signal processing algorithms. In the next step, feature selection algorithms are used to select the compelling features to reduce the problem’s dimensions and obtain the optimal answer faster. While the existing algorithms in the literature classify the sound into two groups of normal and abnormal, in the final section, some of the most popular classification algorithms are utilized to classify the type of sound into three classes of normal, S3 and S4 categories. The proposed methodology obtained an accuracy rate of 87.5% and 95% for multiclass data (3 classes) and 98% for binary classification (normal vs. abnormal) problems.","Heart sound, Signal processing algorithms, Machine learning algorithms, Dimensional reduction algorithms, Feature selection, Gradient boosting classifier"
"Schad J,Sambasivan R,Woodward C",Predicting help desk ticket reassignments with graph convolutional networks,2022,Efficient triaging of incident tickets is a critical task in Information Technology Service Management. Introducing interventional measures on tickets that are difficult to resolve can help improve the triaging of complex tickets. This work reports a method to predict the resolution complexity of a reported incident. The number of times a ticket is reassigned is a measure of difficulty in resolving the incident. Ticket resolution is associated with a variable workflow. A graph representation of ticket resolution offers advantages from the standpoint of running ad hoc queries. Predicting ticket reassignments requires the application of machine learning to this graph. A Relational Graph Convolutional Network is used for this purpose. The developed model provides benefits beyond predicting ticket reassignments accurately. It provides embeddings that can be used to derive insights about the operation of the help desk organization and the users of the help desk.,"Machine learning, Graph convolutional network, Graph representation"
"Moeinizade S,Pham H,Han Y,Dobbels A,Hu G",An applied deep learning approach for estimating soybean relative maturity from UAV imagery to aid plant breeding decisions,2022,"For a global breeding organization, identifying the next generation of superior crops is vital for its success. Recognizing new genetic varieties requires years of in-field testing to gather data about the crop’s yield, pest resistance, heat resistance, etc. At the conclusion of the growing season, organizations need to determine which varieties will be advanced to the next growing season (or sold to farmers) and which ones will be discarded from the candidate pool. Specifically for soybeans, identifying their relative maturity is a vital piece of information used for advancement decisions. However, this trait needs to be physically observed, and there are resource limitations (time, money, etc.) that bottleneck the data collection process. To combat this, breeding organizations are moving towards advanced image capturing devices. In this paper, we develop a robust and automatic approach for estimating the relative maturity of soybeans using a time series of UAV images. An end-to-end hybrid model combining Convolutional Neural Networks (CNN) and Long Short-Term Memory (LSTM) is proposed to extract features and capture the sequential behavior of time series data. The proposed deep learning model was tested on six different environments across the United States Results suggest the effectiveness of our proposed CNN-LSTM model compared to the local regression method. Furthermore, we demonstrate how this newfound information can be used to aid in plant breeding advancement decisions.","Soybean relative maturity, Prediction, Deep learning, Time series, Convolutional neural networks"
